shots,label,v0,v1,overlap_sq
200,A,1.0,0.0,1.0
200,B,0.0,1.0,0
200,C,1.0,1.0,0.41999999999999993
200,D,1.0,-1.0,0.6499999999999999
500,A,1.0,0.0,1.0
500,B,0.0,1.0,0
500,C,1.0,1.0,0.3999999999999999
500,D,1.0,-1.0,0.484
1000,A,1.0,0.0,1.0
1000,B,0.0,1.0,0.0040000000000000036
1000,C,1.0,1.0,0.498
1000,D,1.0,-1.0,0.524
2000,A,1.0,0.0,1.0
2000,B,0.0,1.0,0.016999999999999904
2000,C,1.0,1.0,0.4650000000000001
2000,D,1.0,-1.0,0.4970000000000001
4000,A,1.0,0.0,1.0
4000,B,0.0,1.0,0.0020000000000000018
4000,C,1.0,1.0,0.508
4000,D,1.0,-1.0,0.502
